Wavelength in nm	0.5 ps	1.5 ps	20.4 ps	101 ps	501 ps
335.0	0.025947635902182412	0.028828378183444952	0.03429273156422635	0.03600754683601	0.03669782857459378
336.0	0.024117779856445126	0.02654290047522157	0.03201986144243599	0.03188695588952835	0.03143364124463774
337.0	0.024632209316701837	0.02723407953338604	0.03293489991196935	0.03385059198106954	0.03297863341060594
338.0	0.025575127001211253	0.028194322443134044	0.03287522610089468	0.034017578658288854	0.03224645531377526
339.0	0.02454414396233109	0.028113398633697065	0.03429993146605977	0.03498729907385369	0.0353927714714263
340.0	0.025834082381786253	0.02776922342834936	0.03324152562330775	0.03321444544428311	0.03324316692320098
341.0	0.02365444574252941	0.025735613073146625	0.03123602237593446	0.03188121697531799	0.03000856039095175
342.0	0.026269865695379615	0.02708933044945434	0.03149784540024893	0.033210656056126865	0.031384142245151486
343.0	0.02300060018843363	0.026451536693722758	0.030558632918130293	0.03096876221388234	0.030979991539168496
344.0	0.022550819386674383	0.024429964903758466	0.030152069960298372	0.029971749044902966	0.029514875607993082
345.0	0.024183626385899062	0.0262206543484959	0.029474179555718023	0.030599547034805476	0.029227826377760644
346.0	0.023615745693967252	0.026146878759866692	0.029020058336748845	0.028456821882643094	0.0281806636525257
347.0	0.02234796447030326	0.024105084341973563	0.02751592560119134	0.027732901390928055	0.027435876964531803
348.0	0.02278058803007708	0.023347191078670487	0.027266298161194216	0.02521080358385125	0.025966696648938
349.0	0.024283621249328223	0.02414914745308353	0.026129721253253694	0.02798608935803167	0.02657575079088337
350.0	0.02472797749825132	0.027205349885830704	0.026437041399304678	0.02694667850952546	0.024366006000812658
351.0	0.02264023980948634	0.02252796464382104	0.023335657438418977	0.022958836453362542	0.0251417852245223
352.0	0.02393951575987315	0.024556092768484715	0.025186086508903065	0.02385365236134253	0.024814746031892144
353.0	0.023029989303957596	0.026309455885487415	0.024521122400778642	0.02624674927354277	0.02278565496034436
354.0	0.019992638615619042	0.017977036457113908	0.01677639229033381	0.01854593702884313	0.014593746701905627
355.0	0.019312599279850472	0.02472657468852075	0.018325919323074896	0.020522460251321328	0.017031017947607682
356.0	0.022625540427352157	0.019599352885751372	0.022394714727318323	0.020391096840134616	0.022237354517854878
357.0	0.01743488723166019	0.021021559807667897	0.01758677200769047	0.02112068665274897	0.013150271867997195
358.0	0.019794644291046225	0.02032480658617287	0.019776520150642726	0.0140281981971161	0.014573982630781558
359.0	0.022893561648841713	0.02200855541381323	0.02005408938770905	0.01758823165963725	0.018833951684745057
360.0	0.024323902493702105	0.02367513654578286	0.022220631659002805	0.019211112009440097	0.022076136586213154
361.0	0.02465853269497097	0.020965539938107125	0.0173823929804044	0.018234863959898675	0.017603899337505925
362.0	0.01611129225201357	0.01794830994798154	0.014001451129199807	0.012163137767960804	0.008531956498072396
363.0	0.0220007734087396	0.02199999204800104	0.01739943706621083	0.015582340082911853	0.014392842611862905
364.0	0.0204421326671237	0.017692016402884512	0.014631837993029966	0.01285897555640858	0.012143532584280678
365.0	0.024534564394106444	0.023668173125427402	0.016920849529773876	0.016869020473893177	0.016482770469191797
366.0	0.023260492931568098	0.021767562385016072	0.016253637176187864	0.01488143331578972	0.012673500336277484
367.0	0.022463737053441138	0.02055860315361164	0.013589257648740527	0.013733881263439324	0.01352675091064869
368.0	0.019660728052604146	0.018250747895082332	0.013627512632376713	0.011888110335153744	0.012785226405292983
